transaction_id,timestamp,sender,receiver,amount,type,merchant_category,location,device_used,is_fraud,fraud_type,time_since_last_transaction,spending_deviation_score,velocity_score,geo_anomaly_score,payment_channel,ip_address,device_hash,hour_of_day,day_of_week
T3677888,2023-04-09T20:06:09.254118,ACC529887,ACC346873,11.67,transfer,online,London,pos,False,,-6143.804228036945,0.87,11,0.89,ACH,143.188.216.101,D1912159,20.0,6.0
T5093932,2023-07-16T05:26:15.162082,ACC872160,ACC767192,184.31,payment,other,Tokyo,pos,False,,-512.1618765669444,-0.54,10,0.65,ACH,147.167.236.198,D5847071,5.0,6.0
T4194900,2023-12-13T19:04:47.539751,ACC403211,ACC536309,930.34,deposit,travel,Toronto,pos,False,,2156.221792453889,-0.68,19,0.4,ACH,83.44.197.232,D2907026,19.0,2.0
T4520497,2023-12-15T12:06:09.051479,ACC313245,ACC322871,0.01,withdrawal,restaurant,Berlin,mobile,False,,2166.3441835011113,1.58,14,0.97,UPI,168.84.79.173,D7924413,12.0,4.0
T734465,2023-11-19T21:33:24.238666,ACC570417,ACC246664,131.16,withdrawal,restaurant,Dubai,mobile,False,,-131.34358403000002,-1.54,20,0.7,card,128.58.20.122,D5999152,21.0,6.0
T2901622,2023-01-14T01:51:33.668083,ACC555243,ACC185675,207.74,payment,online,New York,pos,False,,-2240.027139766111,0.09,17,0.1,ACH,208.216.225.120,D2465426,1.0,5.0
T3264755,2023-04-12T22:35:14.226589,ACC277015,ACC639119,1311.05,deposit,grocery,New York,web,False,,-74.80588849944444,-0.21,8,0.53,card,110.209.143.206,D2601494,22.0,2.0
T4262417,2023-06-03T20:48:51.083319,ACC200440,ACC571266,975.65,deposit,restaurant,Toronto,pos,False,,284.26508920027777,-1.03,3,0.48,wire_transfer,222.91.100.185,D7981922,20.0,5.0
T441963,2023-09-27T11:21:53.962251,ACC982634,ACC879352,788.98,deposit,utilities,Singapore,web,False,,,0.89,12,0.75,wire_transfer,142.245.25.225,D2272935,11.0,2.0
T3180339,2023-08-31T18:48:08.111683,ACC406111,ACC561224,283.4,deposit,travel,Dubai,web,False,,3250.0151960925004,-0.82,15,0.5,ACH,40.221.248.135,D4289973,18.0,3.0
T2587959,2023-02-18T17:48:12.349710,ACC458273,ACC127710,753.74,deposit,utilities,New York,web,False,,-5365.313104220833,2.33,2,0.93,ACH,180.130.39.62,D8192742,17.0,5.0
T1221406,2023-08-28T08:52:15.902239,ACC871767,ACC284755,36.76,transfer,grocery,Berlin,mobile,False,,5617.628556215834,1.19,15,0.27,ACH,53.25.193.185,D5112533,8.0,0.0
T1724891,2023-05-04T02:13:07.244606,ACC652760,ACC748061,23.29,transfer,entertainment,New York,atm,True,card_not_present,-5737.603462308888,-0.69,4,0.82,UPI,19.254.141.143,D5468611,2.0,3.0
T578439,2023-09-08T11:13:57.928540,ACC428225,ACC286773,22.93,payment,grocery,Singapore,pos,False,,4401.026805431667,-1.43,12,0.98,UPI,166.70.191.202,D5102404,11.0,4.0
